Ýþlem Akýþý -  vaksis-Administrator  / 08:00:15
9.02.2017 / 08:14:07  -Su akýþ vanasý açýldý.
                                                      
9.02.2017 / 08:14:21  -Sistemi "Vakuma Alma" Ýþlemi Baþlatýldý.
9.02.2017 / 08:14:24  -2. Bölge Isýtýcýsý sýfýra set edildi.
9.02.2017 / 08:14:26  -3. Bölge Isýtýcýsý sýfýra set edildi.
9.02.2017 / 08:14:38  -AH-ATM kapatýldý.
9.02.2017 / 08:14:42  -MP'ye çalýþ komutu gönderildi.
9.02.2017 / 08:14:42  -Alt Hat basýncýnýn 10 dakika içerisinde 10 Torr deðerine düþmesi bekleniyor.
9.02.2017 / 08:15:01  -RP'ye çalýþ komutu gönderildi.
9.02.2017 / 08:15:01  -Alt Hat basýncýnýn 10 dakika içerisinde 0,9 Torr deðerine düþmesi bekleniyor.
9.02.2017 / 08:15:12  -DP-BV açýldý.
9.02.2017 / 08:15:16  -DP'ye çalýþ komutu gönderildi.
9.02.2017 / 08:15:19  -DP'nin ýsýnmasý bekleniyor.
9.02.2017 / 08:33:39  -BBÖ-BV açýldý.
9.02.2017 / 08:33:58  -Ana vana açýldý.
9.02.2017 / 08:33:58  -Ýstenilen basýnç seviyesine düþmesi bekleniyor.
9.02.2017 / 08:46:57  -Ýstenilen basýnç seviyesine geldi.
9.02.2017 / 08:47:05  -Otomatik Pompalama Ýþlemi Tamamlandý.
                                                      
9.02.2017 / 08:47:07  -Daha düþük basýnç deðerleri için LÜTFEN BEKLEYÝNÝZ.
