Ýþlem Akýþý -  vaksis-Administrator  / 08:09:57
18.01.2017 / 08:12  -MP'ye çalýþ komutu gönderildi.
18.01.2017 / 08:15  -RP'ye çalýþ komutu gönderildi.
18.01.2017 / 08:16  -Kelebek vana açýldý.
18.01.2017 / 08:19  -Kelebek vana açýldý.
18.01.2017 / 08:19  -TP'ye çalýþ komutu gönderildi.

***** ERROR  18.01.2017 / 08:19    DP çalýþmasý ile ilgili sorun tespit edildi (Kod 2).

18.01.2017 / 08:19  -TP'ye dur komutu gönderildi
18.01.2017 / 08:19  -Isýtýcý sýfýra set edildi.
18.01.2017 / 08:19  -RP'ye dur komutu gönderildi.
18.01.2017 / 08:19  -Kelebek vana ara pozisyona alýndý.
18.01.2017 / 08:20  -RP'ye çalýþ komutu gönderildi.
18.01.2017 / 08:20  -Kelebek vana ara pozisyona alýndý.
18.01.2017 / 08:20  -Kelebek vana açýldý.
18.01.2017 / 08:22  -Kelebek vana açýldý.
18.01.2017 / 08:26  -TP'ye dur komutu gönderildi
18.01.2017 / 08:27  -Gaz Sirkülasyon Fanýna dur komutu gönderildi.
18.01.2017 / 08:38  -Kelebek vana ara pozisyona alýndý.
18.01.2017 / 08:39  -Kelebek vana ara pozisyona alýndý.
18.01.2017 / 08:47  -DP-BV açýldý.
