Süre (Sn)	Basýnç (Torr)
0		5,8E-5
1		5,9E-5
2		5,9E-5
3		6,0E-5
4		6,0E-5
5		6,1E-5
6		6,1E-5
7		6,2E-5
8		6,2E-5
9		6,3E-5
10		6,3E-5
11		6,4E-5
12		6,4E-5
13		6,5E-5
14		6,5E-5
15		6,5E-5
16		6,6E-5
17		6,6E-5
18		6,7E-5
19		6,7E-5
20		6,7E-5
21		6,8E-5
22		6,8E-5
23		6,9E-5
24		6,9E-5
25		7,0E-5
26		7,0E-5
27		7,0E-5
28		7,1E-5
29		7,1E-5
30		7,2E-5
31		7,2E-5
32		7,3E-5
33		7,3E-5
34		7,4E-5
35		7,4E-5
36		7,4E-5
37		7,5E-5
38		7,5E-5
39		7,6E-5
40		7,6E-5
41		7,6E-5
42		7,7E-5
43		7,7E-5
44		7,8E-5
45		7,8E-5
46		7,9E-5
47		7,9E-5
48		7,9E-5
49		8,0E-5
50		8,0E-5
51		8,1E-5
52		8,1E-5
53		8,1E-5
54		8,2E-5
55		8,2E-5
56		8,2E-5
57		8,3E-5
58		8,4E-5
59		8,4E-5
60		8,5E-5
61		8,6E-5
62		8,7E-5
63		8,7E-5
64		8,8E-5
65		8,8E-5
66		8,9E-5
67		9,0E-5
68		9,1E-5
69		9,2E-5
70		9,2E-5
71		9,3E-5
72		9,3E-5
73		9,4E-5
74		9,4E-5
75		9,5E-5
76		9,6E-5
77		9,6E-5
78		9,7E-5
79		9,7E-5
80		9,8E-5
81		9,8E-5
82		9,9E-5
83		9,9E-5
84		1,0E-4
85		1,0E-4
86		1,0E-4
87		1,0E-4
88		1,0E-4
89		1,0E-4
90		1,0E-4
91		1,0E-4
92		1,0E-4
93		1,0E-4
94		1,0E-4
95		1,0E-4
96		1,1E-4
97		1,1E-4
98		1,1E-4
99		1,1E-4
100		1,1E-4
101		1,1E-4
102		1,1E-4
103		1,1E-4
104		1,1E-4
105		1,1E-4
106		1,1E-4
107		1,1E-4
108		1,1E-4
109		1,1E-4
110		1,1E-4
111		1,1E-4
112		1,1E-4
113		1,1E-4
114		1,1E-4
115		1,1E-4
116		1,1E-4
117		1,1E-4
118		1,1E-4
119		1,1E-4
120		1,2E-4
121		1,2E-4
122		1,2E-4
123		1,2E-4
124		1,2E-4
125		1,2E-4
126		1,2E-4
127		1,2E-4
128		1,2E-4
129		1,2E-4
130		1,2E-4
131		1,2E-4
132		1,2E-4
133		1,2E-4
134		1,2E-4
135		1,2E-4
136		1,2E-4
137		1,2E-4
138		1,2E-4
139		1,2E-4
140		1,2E-4
141		1,2E-4
142		1,2E-4
143		1,3E-4
144		1,3E-4
145		1,3E-4
146		1,3E-4
147		1,3E-4
148		1,3E-4
149		1,3E-4
150		1,3E-4
151		1,3E-4
152		1,3E-4
153		1,3E-4
154		1,3E-4
155		1,3E-4
156		1,3E-4
157		1,3E-4
158		1,3E-4
159		1,3E-4
160		1,3E-4
161		1,3E-4
162		1,3E-4
163		1,3E-4
164		1,3E-4
165		1,3E-4
166		1,3E-4
167		1,3E-4
168		1,4E-4
169		1,4E-4
170		1,4E-4
171		1,4E-4
172		1,4E-4
173		1,4E-4
174		1,4E-4
175		1,4E-4
176		1,4E-4
177		1,4E-4
178		1,4E-4
179		1,4E-4
180		1,4E-4
181		1,4E-4
182		1,4E-4
183		1,4E-4
184		1,4E-4
185		1,4E-4
186		1,4E-4
187		1,4E-4
188		1,4E-4
189		1,4E-4
190		1,4E-4
191		1,4E-4
192		1,4E-4
193		1,5E-4
194		1,5E-4
195		1,5E-4
196		1,5E-4
197		1,5E-4
198		1,5E-4
199		1,5E-4
200		1,5E-4
201		1,5E-4
202		1,5E-4
203		1,5E-4
204		1,5E-4
205		1,5E-4
206		1,5E-4
207		1,5E-4
208		1,5E-4
209		1,5E-4
210		1,5E-4
211		1,5E-4
212		1,5E-4
213		1,5E-4
214		1,5E-4
215		1,5E-4
216		1,5E-4
217		1,5E-4
218		1,5E-4
219		1,6E-4
220		1,6E-4
221		1,6E-4
222		1,6E-4
223		1,6E-4
224		1,6E-4
225		1,6E-4
226		1,6E-4
227		1,6E-4
228		1,6E-4
229		1,6E-4
230		1,6E-4
231		1,6E-4
232		1,6E-4
233		1,6E-4
234		1,6E-4
235		1,6E-4
236		1,6E-4
237		1,6E-4
238		1,6E-4
239		1,6E-4
240		1,6E-4
241		1,6E-4
242		1,6E-4
243		1,6E-4
244		1,6E-4
245		1,7E-4
246		1,7E-4
247		1,7E-4
248		1,7E-4
249		1,7E-4
250		1,7E-4
251		1,7E-4
252		1,7E-4
253		1,7E-4
254		1,7E-4
255		1,7E-4
256		1,7E-4
257		1,7E-4
258		1,7E-4
259		1,7E-4
260		1,7E-4
261		1,7E-4
262		1,7E-4
263		1,7E-4
264		1,7E-4
265		1,7E-4
266		1,7E-4
267		1,7E-4
268		1,7E-4
269		1,7E-4
270		1,7E-4
271		1,7E-4
272		1,7E-4
