Ýþlem Akýþý -  vaksis-Administrator  / 12:05:34
22.02.2017 / 12:06:02  -BBÖ-BV kapatýldý.
22.02.2017 / 12:06:13  -AH-ATM açýldý.
22.02.2017 / 12:06:15  -AH-VKV kapatýldý.
22.02.2017 / 12:06:21                                             
22.02.2017 / 12:06:21  -Sistemi "Vakuma Alma" Ýþlemi Baþlatýldý.
22.02.2017 / 12:06:23  -1. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 12:06:25  -2. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 12:06:25  -3. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 12:06:42  -Alt Hattýn atmosfer basýncýna gelmesi bekleniyor
22.02.2017 / 12:06:43  -Alt Hat atmosfer basýncýna ulaþtý.
22.02.2017 / 12:06:49  -AH-ATM kapatýldý.
22.02.2017 / 12:06:58  -Kelebek vana ara pozisyona alýndý.
22.02.2017 / 12:07:24  -Kelebek vana açýldý.
22.02.2017 / 12:07:28  -K-ATM kapatýldý.
22.02.2017 / 12:07:31  -MP'ye çalýþ komutu gönderildi.
22.02.2017 / 12:07:31  -Kazan basýncýnýn 10 dakika içerisinde 10 Torr deðerine düþmesi bekleniyor.
22.02.2017 / 12:12:45  -RP'ye çalýþ komutu gönderildi.
22.02.2017 / 12:12:45  -Kazan basýncýnýn 10 dakika içerisinde 0,9 Torr deðerine düþmesi bekleniyor.
22.02.2017 / 12:13:24  -BBÖ-BV açýldý.
22.02.2017 / 12:13:35  -Kelebek vana ara pozisyona alýndý.
22.02.2017 / 12:14:00  -Kelebek vana kapatýldý.
22.02.2017 / 12:14:10  -DP-BV açýldý.
22.02.2017 / 12:14:13  -DP'ye çalýþ komutu gönderildi.
22.02.2017 / 12:14:16  -DP'nin ýsýnmasý bekleniyor.
22.02.2017 / 12:33:40  -Ana vana açýldý.
22.02.2017 / 12:33:40  -Ýstenilen basýnç seviyesine düþmesi bekleniyor.
22.02.2017 / 13:21:35  -Ýstenilen basýnç seviyesine geldi.
22.02.2017 / 13:21:42  -Otomatik Pompalama Ýþlemi Tamamlandý.
                                                      
22.02.2017 / 13:21:45  -Daha düþük basýnç deðerleri için LÜTFEN BEKLEYÝNÝZ.
22.02.2017 / 13:32:46  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 13:32:47  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 13:32:49  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 13:42:35  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 13:42:36  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
