Ýþlem Akýþý -  vaksis-Administrator  / 13:16:44
25.01.2017 / 13:17:00  -AH-ATM kapatýldý.
25.01.2017 / 13:17:01  -MP'ye çalýþ komutu gönderildi.
                                                      
25.01.2017 / 13:17:12  -Sistemi "Vakuma Alma" Ýþlemi Baþlatýldý.
25.01.2017 / 13:17:15  -1. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 13:17:15  -2. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 13:17:17  -3. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 13:17:29  -Alt Hat basýncýnýn 10 dakika içerisinde 10 Torr deðerine düþmesi bekleniyor.
25.01.2017 / 13:17:32  -RP'ye çalýþ komutu gönderildi.
25.01.2017 / 13:17:33  -Alt Hat basýncýnýn 10 dakika içerisinde 0,9 Torr deðerine düþmesi bekleniyor.
25.01.2017 / 13:17:42  -DP-BV açýldý.
25.01.2017 / 13:17:46  -DP'ye çalýþ komutu gönderildi.
25.01.2017 / 13:17:49  -DP'nin ýsýnmasý bekleniyor.
25.01.2017 / 13:22:39  -DP'nin ýsýnmasý bekleniyor.

***** ERROR  25.01.2017 / 13:22:39    Sistem hava basýncý yeterli deðil !
Lütfen basýnçlý hava baðlantýlarýný kontrol ediniz.

25.01.2017 / 13:27:53  -DP'nin ýsýnmasý bekleniyor.
25.01.2017 / 13:36:06  -BBÖ-BV açýldý.
25.01.2017 / 13:36:24  -Ana vana açýldý.
25.01.2017 / 13:36:25  -Ýstenilen basýnç seviyesine düþmesi bekleniyor.
25.01.2017 / 13:43:00  -Ýstenilen basýnç seviyesine geldi.
25.01.2017 / 13:43:07  -Otomatik Pompalama Ýþlemi Tamamlandý.
                                                      
25.01.2017 / 13:43:10  -Daha düþük basýnç deðerleri için LÜTFEN BEKLEYÝNÝZ.
                                                      
25.01.2017 / 17:36:42  -Sistemi "Durdurma" Ýþlemi Baþlatýldý.
25.01.2017 / 17:36:44  -1. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 17:36:47  -2. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 17:36:47  -3. Bölge Isýtýcýsý sýfýra set edildi.
25.01.2017 / 17:36:52  -BBÖ-BV kapatýldý.
25.01.2017 / 17:36:56  -Ana vana kapatýldý.
25.01.2017 / 17:37:08  -DP'ye dur komutu gönderildi.
25.01.2017 / 17:37:11  -DP'nin soðumasý bekleniyor.
25.01.2017 / 17:46:30  -DP-BV kapatýldý.
25.01.2017 / 17:46:32  -RP'ye dur komutu gönderildi.
25.01.2017 / 17:46:35  -MP'ye dur komutu gönderildi.
25.01.2017 / 17:46:38  -AH-VKV açýldý.
25.01.2017 / 17:46:40  -Alt Hattýn atmosfer basýncýna gelmesi bekleniyor
25.01.2017 / 17:48:17  -Alt Hat atmosfer basýncýna ulaþtý.
25.01.2017 / 17:48:17  -AH-ATM açýldý.
25.01.2017 / 17:48:20  -AH-VKV kapatýldý.
25.01.2017 / 17:48:22  -Durdurma iþlemi tamamlandý
                                                      
25.01.2017 / 18:09:00  -Su akýþ vanasý kapatýldý.
