Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
0	24		25		25		27	16
1	24		25		25		27	16
2	24		25		25		27	16
3	24		25		25		27	16
4	24		25		25		27	16
5	24		25		25		27	16
6	24		25		25		27	16
7	24		25		25		27	16
8	24		25		25		27	16
9	24		25		25		27	16
10	24		25		25		27	16
11	24		25		25		27	16
12	24		25		25		27	16
13	24		25		25		27	16
14	24		25		25		27	16
15	24		25		25		27	16
16	24		25		25		27	16
17	24		25		25		27	16
18	24		25		25		27	16
19	24		25		25		27	16
20	24		25		25		27	16
21	24		25		25		27	16
22	24		25		25		27	16
23	24		25		25		27	16
24	24		25		25		27	16
25	24		25		25		27	16
26	24		25		25		27	16
27	24		25		25		27	16
28	24		25		25		27	16
29	24		25		25		27	16
30	24		25		25		27	16
31	24		25		25		27	16
32	24		25		25		27	16
33	24		25		25		27	16
34	24		25		25		27	16
35	24		25		25		27	16
36	24		25		25		27	16
37	24		25		25		27	16
38	24		25		25		27	16
39	24		25		25		27	16
40	24		25		25		27	16
41	24		25		25		27	16
42	24		25		25		27	16
43	24		25		25		27	16
44	24		25		25		27	16
45	24		25		25		27	16
46	24		25		25		27	16
47	24		25		25		27	16
48	24		25		25		27	16
49	24		25		25		27	16
50	24		25		25		27	16
51	24		25		25		27	16
52	24		25		25		27	16
53	24		25		25		27	16
54	24		25		25		27	16
55	24		25		25		27	16
56	24		25		25		27	16
57	24		25		25		27	16
58	24		25		25		27	16
59	24		25		25		27	16
60	24		25		25		27	16
61	24		25		25		27	16
62	24		25		25		27	16
63	24		25		25		27	16
64	24		25		25		27	16
65	24		25		25		27	16
66	24		25		25		27	16
67	24		25		25		27	16
68	24		25		25		27	16
69	24		25		25		27	16
70	24		25		25		27	16
71	24		25		25		27	16
72	24		25		25		27	16
73	24		25		25		27	16
74	24		25		25		27	16
75	24		25		25		27	16
76	24		25		25		27	16
77	24		25		25		27	16
78	24		25		25		27	16
79	24		25		25		27	16
80	24		25		25		27	16
81	24		25		25		27	16
82	24		25		25		27	16
83	24		25		25		27	16
84	24		25		25		27	16
85	24		25		25		27	16
86	24		25		25		27	16
87	24		25		25		27	16
88	24		25		25		27	16
89	24		25		25		27	16
90	24		25		25		27	16
91	24		25		25		27	16
92	24		25		25		27	16
93	24		25		25		27	16
94	24		25		25		27	16
95	24		25		25		27	16
96	24		25		25		27	16
97	24		25		25		27	16
98	24		25		25		27	16
99	24		25		25		27	16
100	24		25		25		27	16
101	24		25		25		27	16
102	24		25		25		27	16
103	24		25		25		27	16
104	24		25		25		27	16
105	24		25		25		27	16
106	24		25		25		27	16
107	24		25		25		27	16
108	24		25		25		27	16
109	24		25		25		27	16
110	24		25		25		27	16
111	24		25		25		27	16
112	24		25		25		27	16
113	24		25		25		27	16
114	24		25		25		27	16
115	24		25		25		27	16
116	24		25		25		27	16
117	24		25		25		27	16
118	24		25		25		27	16
119	24		25		25		27	16
120	24		25		25		27	16
121	24		25		25		27	16
122	24		25		25		27	16
123	24		25		25		27	16
124	24		25		25		27	16
125	24		25		25		27	16
126	24		25		25		27	16
127	24		25		25		27	16
128	24		25		25		27	16
129	24		25		25		27	16
130	24		25		25		27	16
131	24		25		25		27	16
132	24		25		25		27	16
133	24		25		25		27	16
134	24		25		25		27	16
135	24		25		25		27	16
136	24		25		25		27	16
137	24		25		25		27	16
