Süre (Sn)	Basýnç (Torr)
0		1,4E-5
1		1,4E-5
2		1,5E-5
3		1,5E-5
4		1,5E-5
5		1,5E-5
6		1,5E-5
7		1,6E-5
8		1,6E-5
9		1,6E-5
10		1,6E-5
11		1,6E-5
12		1,7E-5
13		1,7E-5
14		1,7E-5
15		1,7E-5
16		1,7E-5
17		1,8E-5
18		1,8E-5
19		1,8E-5
20		1,8E-5
21		1,8E-5
22		1,9E-5
23		1,9E-5
24		1,9E-5
25		1,9E-5
26		1,9E-5
27		2,0E-5
28		2,0E-5
29		2,0E-5
30		2,0E-5
31		2,0E-5
32		2,1E-5
33		2,1E-5
34		2,1E-5
35		2,1E-5
36		2,1E-5
37		2,2E-5
38		2,2E-5
39		2,2E-5
40		2,2E-5
41		2,2E-5
42		2,3E-5
43		2,3E-5
44		2,3E-5
45		2,3E-5
46		2,3E-5
47		2,4E-5
48		2,4E-5
49		2,4E-5
50		2,4E-5
51		2,4E-5
52		2,4E-5
53		2,3E-5
54		2,1E-5
55		1,9E-5
56		1,7E-5
57		1,4E-5
58		1,2E-5
59		1,0E-5
60		7,8E-6
61		6,5E-6
62		5,4E-6
63		4,2E-6
64		3,5E-6
65		2,9E-6
66		2,3E-6
67		2,0E-6
