Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
0		0,0E+0		0,0E+0		0,0E+0
5		0,0E+0		0,0E+0		0,0E+0
10		1,3E-8		0,0E+0		3,2E-3
15		8,4E-5		3,2E+1		6,9E+0
20		4,1E-2		9,4E+1		7,6E+2
25		4,1E-2		1,4E+2		7,6E+2
30		4,1E-2		1,9E+2		7,6E+2
35		4,1E-2		2,5E+2		7,6E+2
40		4,1E-2		3,0E+2		7,6E+2
45		4,1E-2		3,6E+2		7,6E+2
50		4,1E-2		4,1E+2		7,6E+2
55		4,1E-2		4,7E+2		7,6E+2
60		4,1E-2		5,1E+2		7,6E+2
65		4,1E-2		5,5E+2		7,6E+2
70		4,1E-2		5,5E+2		7,6E+2
75		4,1E-2		5,5E+2		7,6E+2
80		4,1E-2		5,5E+2		7,6E+2
85		4,1E-2		5,5E+2		7,6E+2
90		4,1E-2		5,5E+2		7,6E+2
95		4,1E-2		5,5E+2		7,6E+2
100		4,1E-2		5,5E+2		7,6E+2
105		4,1E-2		5,5E+2		7,6E+2
110		4,1E-2		5,5E+2		7,6E+2
115		4,1E-2		5,5E+2		7,6E+2
120		4,1E-2		5,5E+2		7,6E+2
125		4,1E-2		5,5E+2		7,6E+2
130		4,1E-2		5,5E+2		7,6E+2
135		4,1E-2		5,5E+2		7,6E+2
140		4,1E-2		5,5E+2		7,6E+2
145		4,1E-2		5,5E+2		7,6E+2
150		4,1E-2		5,5E+2		7,6E+2
155		4,1E-2		5,5E+2		7,6E+2
160		4,1E-2		5,5E+2		7,6E+2
165		4,1E-2		5,5E+2		7,6E+2
170		4,1E-2		5,5E+2		7,6E+2
175		4,1E-2		5,5E+2		7,6E+2
180		4,1E-2		5,5E+2		7,6E+2
185		4,1E-2		5,5E+2		7,6E+2
190		4,1E-2		5,5E+2		7,6E+2
195		4,1E-2		5,5E+2		7,6E+2
200		4,1E-2		5,5E+2		7,6E+2
205		4,1E-2		5,5E+2		7,6E+2
210		4,1E-2		5,5E+2		7,6E+2
215		4,1E-2		5,5E+2		7,6E+2
220		4,1E-2		5,5E+2		7,6E+2
225		4,1E-2		5,5E+2		7,6E+2
230		4,1E-2		5,5E+2		7,6E+2
235		4,1E-2		5,5E+2		7,6E+2
240		4,1E-2		5,5E+2		7,6E+2
245		4,1E-2		5,5E+2		7,6E+2
250		4,1E-2		5,5E+2		7,6E+2
255		4,1E-2		5,5E+2		7,6E+2
260		4,1E-2		5,5E+2		7,6E+2
265		4,1E-2		5,5E+2		7,6E+2
270		4,1E-2		5,5E+2		7,6E+2
275		4,1E-2		5,5E+2		7,6E+2
280		4,1E-2		5,5E+2		7,6E+2
285		4,1E-2		5,5E+2		7,6E+2
290		4,1E-2		5,5E+2		7,6E+2
295		4,1E-2		5,5E+2		7,6E+2
300		4,1E-2		5,5E+2		7,6E+2
305		4,1E-2		5,5E+2		7,6E+2
310		4,1E-2		5,5E+2		7,6E+2
315		4,1E-2		5,5E+2		7,6E+2
320		4,1E-2		5,5E+2		7,6E+2
325		4,1E-2		5,5E+2		7,6E+2
330		4,1E-2		5,5E+2		7,6E+2
335		4,1E-2		5,5E+2		7,6E+2
340		4,1E-2		5,5E+2		7,6E+2
345		4,1E-2		5,5E+2		7,6E+2
350		4,1E-2		5,5E+2		7,6E+2
355		4,1E-2		5,5E+2		7,6E+2
360		4,1E-2		5,5E+2		7,6E+2
365		4,1E-2		5,5E+2		7,6E+2
370		4,1E-2		5,5E+2		7,6E+2
375		4,0E-2		5,5E+2		7,6E+2
380		4,0E-2		5,5E+2		7,6E+2
385		4,0E-2		5,5E+2		7,6E+2
390		4,0E-2		5,5E+2		7,6E+2
395		4,1E-2		5,5E+2		7,6E+2
400		4,1E-2		5,5E+2		7,6E+2
405		4,1E-2		5,5E+2		7,6E+2
410		4,1E-2		5,5E+2		7,6E+2
415		4,1E-2		5,5E+2		7,6E+2
420		4,1E-2		5,5E+2		7,6E+2
425		4,1E-2		5,5E+2		7,6E+2
430		4,1E-2		5,5E+2		7,6E+2
435		4,0E-2		5,5E+2		7,6E+2
440		4,1E-2		5,5E+2		7,6E+2
445		4,0E-2		5,5E+2		7,6E+2
450		4,0E-2		5,5E+2		7,6E+2
455		4,0E-2		5,5E+2		7,6E+2
460		4,1E-2		5,5E+2		7,6E+2
465		4,0E-2		5,5E+2		7,6E+2
470		4,0E-2		5,5E+2		7,6E+2
