Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		7,6E+2		5,7E+2		7,6E+2
5		7,6E+2		5,7E+2		7,6E+2
10		1,5E-6		0,0E+0		5,0E-3
15		6,1E-1		3,6E+1		1,1E+1
20		7,6E+2		8,5E+1		7,6E+2
25		7,6E+2		1,5E+2		7,6E+2
30		7,6E+2		2,0E+2		7,6E+2
35		7,6E+2		2,6E+2		7,6E+2
40		7,6E+2		3,1E+2		7,6E+2
45		7,6E+2		3,8E+2		7,6E+2
50		7,6E+2		4,3E+2		7,6E+2
55		7,6E+2		4,9E+2		7,6E+2
60		7,6E+2		5,4E+2		7,6E+2
65		7,6E+2		5,7E+2		7,6E+2
70		7,6E+2		5,7E+2		7,6E+2
75		7,6E+2		5,7E+2		7,6E+2
80		7,6E+2		5,7E+2		7,6E+2
85		7,6E+2		5,7E+2		7,6E+2
90		7,6E+2		5,7E+2		7,6E+2
95		7,6E+2		5,7E+2		7,6E+2
100		7,6E+2		5,7E+2		7,6E+2
105		7,6E+2		5,7E+2		7,6E+2
110		7,6E+2		5,7E+2		7,6E+2
115		7,6E+2		5,7E+2		7,6E+2
120		7,6E+2		5,7E+2		7,6E+2
125		7,6E+2		5,7E+2		7,6E+2
130		7,6E+2		5,7E+2		7,6E+2
135		7,6E+2		5,7E+2		7,6E+2
140		7,6E+2		5,7E+2		7,6E+2
145		7,6E+2		5,7E+2		7,6E+2
150		7,6E+2		5,7E+2		7,6E+2
155		7,6E+2		5,7E+2		7,6E+2
160		7,6E+2		5,7E+2		7,6E+2
165		7,6E+2		5,7E+2		7,6E+2
170		7,6E+2		5,7E+2		7,6E+2
175		7,6E+2		5,7E+2		7,6E+2
180		7,6E+2		5,7E+2		7,6E+2
185		7,6E+2		5,7E+2		7,6E+2
190		7,6E+2		5,7E+2		7,6E+2
195		7,6E+2		5,7E+2		7,6E+2
200		7,6E+2		5,7E+2		7,6E+2
205		7,6E+2		5,7E+2		7,6E+2
210		7,6E+2		5,7E+2		7,6E+2
215		7,6E+2		5,7E+2		7,6E+2
220		7,6E+2		5,7E+2		7,6E+2
225		7,6E+2		5,7E+2		7,6E+2
230		7,6E+2		5,7E+2		7,6E+2
235		7,6E+2		5,7E+2		7,6E+2
